name,brand,website,google_place_id,house_number,street,country,postal_code,google_name,google_address,google_rating,google_user_ratings_total,google_lat,google_lng,google_link
Tweewielerhoek Reinier,giant,www.tweewielerhoek-reinier.nl,ChIJ5dCCQCrWx0cRUBW3jnozJ3o,30-32,Graafschap,Netherlands,8261 LC,Tweewielerhoek Reinier,"Graafschap 30-32, 8261 LC Kampen, Netherlands",4.8,63,52.5533830,5.9212906,https://www.google.com/maps/place/?q=place_id:ChIJ5dCCQCrWx0cRUBW3jnozJ3o
Fietsunie B.V.,giant,www.fietsunie.nl,ChIJdau-AQXmt0cR3TgYbjL5dgo,75N,Wilhelminastraat,Netherlands,7811 JH,Fietsunie E-bike store,"Wilhelminastraat 75N, 7811 JH Emmen, Netherlands",4.5,197,52.7806141,6.8963789,https://www.google.com/maps/place/?q=place_id:ChIJdau-AQXmt0cR3TgYbjL5dgo
Het Zwarte Fietsenplan oostelijke Eilanden,giant,,ChIJi2KAlwsJxkcRbYQg6rxa9M0,14,Czaar Peterstraat,Netherlands,1018 PR,Het Zwarte Fietsenplan Oostelijke eilanden,"Czaar Peterstraat 14, 1018 PR Amsterdam, Netherlands",3.7,125,52.3687834,4.9275301,https://www.google.com/maps/place/?q=place_id:ChIJi2KAlwsJxkcRbYQg6rxa9M0
PCS Purmer BV,giant,www.pcsfietsen.nl,ChIJJU_uOroGxkcR5cixTdaxh6A,263,Overlanderstraat,Netherlands,1445 DR,PCS Fietsspecialist,"Overlanderstraat 263, 1445 DR Purmerend, Netherlands",4.3,107,52.5001306,4.9793447,https://www.google.com/maps/place/?q=place_id:ChIJJU_uOroGxkcR5cixTdaxh6A
Giant Store Beekhoven Bikes,giant,www.giantstore-beekhoven.nl,ChIJR9KknhEIxkcRL7Z99Ri2Ynk,16,Draaierweg,Netherlands,1032 KS,Giant Store Beekhoven Bikes,"Draaierweg 16, 1032 KS Amsterdam, Netherlands",4.5,235,52.4009670,4.9056441,https://www.google.com/maps/place/?q=place_id:ChIJR9KknhEIxkcRL7Z99Ri2Ynk
Van Beek Tweewielers BV,giant,,ChIJuZWQMWZrxkcRG8KQYn-RYms,73,Herenstraat,Netherlands,1211 CA,Van Beek Tweewielers,"Herenstraat 73, 1211 CA Hilversum, Netherlands",4.4,181,52.2237810,5.1731391,https://www.google.com/maps/place/?q=place_id:ChIJuZWQMWZrxkcRG8KQYn-RYms
Weerman  Wielersport,giant,www.weermanfietsen.nl,ChIJGR8iyZ5nyEcRqgEy_NKZglA,13,Hoofdstraat Oost,Netherlands,8471 JH,Weerman Fietsen Wolvega,"Hoofdstraat Oost 13, 8471 JH Wolvega, Netherlands",4.8,28,52.8766810,6.0025275,https://www.google.com/maps/place/?q=place_id:ChIJGR8iyZ5nyEcRqgEy_NKZglA
Aart Tweewielers,giant,www.aarttweewielers.nl,ChIJOYftfpHhxkcRRANuHKQpGnk,43,Gasthuisstraat,Netherlands,5461 BA,Aart Tweewielers,"Gasthuisstraat 43, 5461 BA Veghel, Netherlands",4.7,10,51.6239459,5.5399782,https://www.google.com/maps/place/?q=place_id:ChIJOYftfpHhxkcRRANuHKQpGnk
Giant Store van Hest,giant,www.giantstore-vanhest.nl,ChIJcwx8f4e4x0cRjCG2VrW0gZo,88-90,Arnhemseweg,Netherlands,7331 BN,Giant Store Van Hest,"Arnhemseweg 88-90, 7331 BN Apeldoorn, Netherlands",4.7,79,52.2031218,5.9595547,https://www.google.com/maps/place/?q=place_id:ChIJcwx8f4e4x0cRjCG2VrW0gZo
Mado Bikecenter,giant,www.madobikecenter.nl,ChIJT8AUQLv9xkcR-zJ-1Bi2dYU,20,Burgemeester van Erpstraat,Netherlands,5351 AW,Mado Bikecenter,"Burgemeester van Erpstraat 20, 5351 AW Berghem, Netherlands",4.7,33,51.7745609,5.5686812,https://www.google.com/maps/place/?q=place_id:ChIJT8AUQLv9xkcR-zJ-1Bi2dYU
De Kromme Spaak,giant,www.dekrommespaak.nl,ChIJVY6Q2wNjxEcR0O4ev2K-qtw,22,Dijkwelsestraat,Netherlands,4421 AH,"Rijwielhandel ""De Kromme Spaak""","Dijkwelsestraat 22, 4421 AH Kapelle, Netherlands",4.7,72,51.4848603,3.9539373,https://www.google.com/maps/place/?q=place_id:ChIJVY6Q2wNjxEcR0O4ev2K-qtw
Kraan tweewielers,giant,www.giantstore-kraan.nl,ChIJ8e6i0eN5xkcR-kF5rDbxiLw,28,La Fontaineplein,Netherlands,3446 BX,KraanTweewielers (Giant Store Kraan),"La Fontaineplein 28, 3446 BX Woerden, Netherlands",4.5,4,52.0856757,4.9039793,https://www.google.com/maps/place/?q=place_id:ChIJ8e6i0eN5xkcR-kF5rDbxiLw
Giant Store Kleijn,giant,www.giantstore-kleijn-delier.nl,ChIJuwkl7BKzxUcRkO7OJELP2M4,24-36,Kijckerweg,Netherlands,2678 AD,Giant Store Kleijn Tweewielers,"Kijckerweg 24-36, 2678 AD De Lier, Netherlands",4.7,113,51.9747391,4.2447997,https://www.google.com/maps/place/?q=place_id:ChIJuwkl7BKzxUcRkO7OJELP2M4
Profile Van Oudenaarden,giant,www.profilevanoudenaarden.nl,ChIJERO0BYpNxEcRGCOnZIRCVxU,4,Het Woud,Netherlands,3232 LN,Fietsplus Van Oudenaarden,"Het Woud 4, 3232 LN Brielle, Netherlands",4.6,78,51.8892652,4.1624435,https://www.google.com/maps/place/?q=place_id:ChIJERO0BYpNxEcRGCOnZIRCVxU
